run_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
r1,topN_df,,0,0,353,0,2025-10-27T17:33:27.565668
r1,topN_df,,0,0,762,676,2025-10-27T17:33:27.565670
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565672
r1,topN_df,,0,0,762,0,2025-10-27T17:33:27.565674
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565676
r1,topN_df,,0,0,762,0,2025-10-27T17:33:27.565677
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565679
r1,topN_df,,0,0,59,0,2025-10-27T17:33:27.565681
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565682
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565683
r1,topN_df,,0,0,560,59,2025-10-27T17:33:27.565685
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565686
r1,topN_df,,2,184752,0,560,2025-10-27T17:33:27.565688
r1,topN_df,,0,0,59,0,2025-10-27T17:33:27.565689
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565691
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565693
r1,topN_df,,0,0,560,59,2025-10-27T17:33:27.565694
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565696
r1,topN_df,,2,184752,0,560,2025-10-27T17:33:27.565697
r1,topN_df,,0,0,2935,0,2025-10-27T17:33:27.565699
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565701
r1,topN_df,,2,184752,0,2935,2025-10-27T17:33:27.565702
r1,topN_df,,0,0,353,0,2025-10-27T17:33:27.565704
r1,topN_df,,0,0,762,676,2025-10-27T17:33:27.565706
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565707
r1,topN_df,,0,0,762,0,2025-10-27T17:33:27.565709
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565711
r1,topN_df,,0,0,762,0,2025-10-27T17:33:27.565712
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565714
r1,topN_df,,0,0,353,0,2025-10-27T17:33:27.565716
r1,topN_df,,0,0,762,676,2025-10-27T17:33:27.565718
r1,topN_df,,0,0,0,0,2025-10-27T17:33:27.565719
r1,topN_df,,0,0,762,0,2025-10-27T17:33:27.565721
