run_id,job_id,stage_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
rdd_top10,,36,reduceByKey at /tmp/ipykernel_1843/1745975021.py:4,Top10 RDD,2,184752,0,762,2025-10-27T17:34:17.501909
rdd_top10,,35,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,59,0,2025-10-27T17:34:17.501912
rdd_top10,,34,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501915
rdd_top10,,33,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501918
rdd_top10,,32,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,560,59,2025-10-27T17:34:17.501921
rdd_top10,,31,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501924
rdd_top10,,30,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,560,2025-10-27T17:34:17.501928
rdd_top10,,29,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,59,0,2025-10-27T17:34:17.501932
rdd_top10,,28,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501935
rdd_top10,,27,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501938
rdd_top10,,26,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,560,59,2025-10-27T17:34:17.501942
rdd_top10,,25,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501945
rdd_top10,,24,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,560,2025-10-27T17:34:17.501948
rdd_top10,,23,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,2935,0,2025-10-27T17:34:17.501952
rdd_top10,,22,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501956
rdd_top10,,21,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,2935,2025-10-27T17:34:17.501959
rdd_top10,,20,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,2935,0,2025-10-27T17:34:17.501962
rdd_top10,,19,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501965
rdd_top10,,18,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,2935,2025-10-27T17:34:17.501968
rdd_top10,,17,count at /tmp/ipykernel_1843/291129756.py:2,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501971
rdd_top10,,16,reduceByKey at /tmp/ipykernel_1843/2178452768.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501974
rdd_top10,,15,runJob at PythonRDD.scala:189,Top10 RDD,0,0,353,0,2025-10-27T17:34:17.501978
rdd_top10,,14,sortBy at /tmp/ipykernel_1843/2178452768.py:5,Top10 RDD,0,0,762,676,2025-10-27T17:34:17.501982
rdd_top10,,13,reduceByKey at /tmp/ipykernel_1843/2178452768.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501985
rdd_top10,,12,sortBy at /tmp/ipykernel_1843/2178452768.py:5,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501988
rdd_top10,,11,reduceByKey at /tmp/ipykernel_1843/2178452768.py:4,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.501991
rdd_top10,,10,sortBy at /tmp/ipykernel_1843/2178452768.py:5,Top10 RDD,0,0,762,0,2025-10-27T17:34:17.501994
rdd_top10,,9,reduceByKey at /tmp/ipykernel_1843/2178452768.py:4,Top10 RDD,2,184752,0,762,2025-10-27T17:34:17.501997
rdd_top10,,8,showString at NativeMethodAccessorImpl.java:0,Top10 RDD,1,82336,0,0,2025-10-27T17:34:17.502000
rdd_top10,,7,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,118,0,2025-10-27T17:34:17.502003
rdd_top10,,6,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,0,0,0,0,2025-10-27T17:34:17.502006
rdd_top10,,5,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,Top10 RDD,2,184752,0,118,2025-10-27T17:34:17.502009
rdd_top10,,4,count at NativeMethodAccessorImpl.java:0,Top10 RDD,2700,195287,0,0,2025-10-27T17:34:17.502012
rdd_top10,,3,csv at NativeMethodAccessorImpl.java:0,Top10 RDD,1501,108404,0,0,2025-10-27T17:34:17.502015
rdd_top10,,2,csv at NativeMethodAccessorImpl.java:0,Top10 RDD,1,65536,0,0,2025-10-27T17:34:17.502018
rdd_top10,,1,csv at NativeMethodAccessorImpl.java:0,Top10 RDD,1201,86883,0,0,2025-10-27T17:34:17.502021
rdd_top10,,0,csv at NativeMethodAccessorImpl.java:0,Top10 RDD,1,65536,0,0,2025-10-27T17:34:17.502038
